Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,GB,9,2020,23,M,true,JMC,MARCH,2021,Lecture 4
1,GB,9,2020,23,M,true,PYMC,SEPTEMBER,2023,Lecture 11
2,US,4,2018,27,F,false,JMC,FEBRUARY,2018,Lecture 8
2,US,4,2018,27,F,false,PYMC,AUGUST,2024,Lecture 13
3,AU,1,2015,49,M,true,JMC,APRIL,2015,Lecture 4
3,AU,1,2015,49,M,true,PYMC,JANUARY,2016,Lecture 6
4,IN,5,2017,68,F,false,JMC,JANUARY,2025,Lecture 10
4,IN,5,2017,68,F,false,PYMC,NOVEMBER,2020,Lecture 1
5,IN,6,2019,85,U,true,JMC,AUGUST,2019,Lecture 4
5,IN,6,2019,85,U,true,PYMC,MAY,2025,Lecture 4
6,CN,10,2015,22,F,true,JMC,FEBRUARY,2023,Lecture 1
6,CN,10,2015,22,F,true,PYMC,MARCH,2025,Lecture 14
7,CN,1,2016,35,M,true,JMC,JULY,2021,Lecture 8
7,CN,1,2016,35,M,true,PYMC,SEPTEMBER,2018,Lecture 12
8,GB,12,2025,59,U,false,JMC,DECEMBER,2025,Lecture 1
8,GB,12,2025,59,U,false,PYMC,AUGUST,2025,Lecture 3
9,AU,1,2023,76,F,false,JMC,FEBRUARY,2023,Lecture 11
9,AU,1,2023,76,F,false,PYMC,JUNE,2025,Lecture 7
10,CN,6,2021,58,M,true,JMC,SEPTEMBER,2025,Lecture 12
10,CN,6,2021,58,M,true,PYMC,MAY,2022,Lecture 4
11,GB,1,2024,77,U,true,JMC,JANUARY,2024,Lecture 9
11,GB,1,2024,77,U,true,PYMC,FEBRUARY,2026,Lecture 2
12,GB,9,2015,60,F,false,JMC,OCTOBER,2018,Lecture 6
12,GB,9,2015,60,F,false,PYMC,JULY,2016,Lecture 10
13,IN,4,2015,75,U,true,JMC,FEBRUARY,2017,Lecture 4
13,IN,4,2015,75,U,true,PYMC,DECEMBER,2016,Lecture 6
14,AU,7,2019,50,M,true,JMC,NOVEMBER,2025,Lecture 14
14,AU,7,2019,50,M,true,PYMC,JANUARY,2022,Lecture 4
15,US,6,2023,59,U,true,JMC,DECEMBER,2024,Lecture 4
15,US,6,2023,59,U,true,PYMC,JUNE,2026,Lecture 12
16,GB,11,2018,20,M,false,JMC,JULY,2021,Lecture 8
16,GB,11,2018,20,M,false,PYMC,OCTOBER,2019,Lecture 5
17,AU,6,2022,57,U,true,JMC,JANUARY,2025,Lecture 14
17,AU,6,2022,57,U,true,PYMC,JUNE,2025,Lecture 2
18,US,8,2026,30,M,false,JMC,NOVEMBER,2026,Lecture 8
18,US,8,2026,30,M,false,PYMC,SEPTEMBER,2026,Lecture 3
19,CN,12,2020,44,M,false,JMC,DECEMBER,2025,Lecture 5
19,CN,12,2020,44,M,false,PYMC,NOVEMBER,2023,Lecture 13
20,US,10,2016,68,F,false,JMC,JANUARY,2022,Lecture 13
20,US,10,2016,68,F,false,PYMC,JANUARY,2016,Lecture 2
21,GB,9,2016,32,F,true,JMC,MARCH,2026,Lecture 11
21,GB,9,2016,32,F,true,PYMC,MAY,2026,Lecture 1
22,AU,1,2016,46,F,true,JMC,JANUARY,2023,Lecture 1
22,AU,1,2016,46,F,true,PYMC,OCTOBER,2019,Lecture 14
23,CN,5,2024,42,U,true,JMC,SEPTEMBER,2026,Lecture 4
23,CN,5,2024,42,U,true,PYMC,OCTOBER,2024,Lecture 4
24,AU,7,2016,66,M,true,JMC,JULY,2023,Lecture 2
24,AU,7,2016,66,M,true,PYMC,SEPTEMBER,2018,Lecture 6
25,GB,8,2015,79,U,false,JMC,NOVEMBER,2019,Lecture 7
25,GB,8,2015,79,U,false,PYMC,SEPTEMBER,2026,Lecture 13
